Alias	RecipientFilter
DG_EMB_GERENTES-EDE	((((((CustomAttribute3 -eq 'EDE') -or (CustomAttribute3 -eq 'ELEB'))) -and (((CustomAttribute5 -eq 'L3B') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_GERENTES-MLB	((((CustomAttribute3 -eq 'MLB') -and (((CustomAttribute5 -eq 'L3') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_GERENTES-SOD	((((CustomAttribute3 -eq 'SOD') -and (((CustomAttribute5 -eq 'L3') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_GERENTES-BJS	((((CustomAttribute3 -eq 'BJS') -and (((CustomAttribute5 -eq 'L3') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_GERENTES-BHZ	((((CustomAttribute3 -eq 'BHZ') -and (((CustomAttribute5 -eq 'L3') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_GERENTES-JAX	((((CustomAttribute3 -eq 'JAX') -and (((CustomAttribute5 -eq 'L3') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_GERENTES-BSB	((((CustomAttribute3 -eq 'BSB') -and (((CustomAttribute5 -eq 'L3') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_GERENTES-BOT	((((CustomAttribute3 -eq 'BOT') -and (((CustomAttribute5 -eq 'L3') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_GERENTES-FLN	((((((CustomAttribute5 -eq 'L3') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3B'))) -and (((CustomAttribute9 -eq 'FLN1') -or (CustomAttribute9 -eq 'FLN'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_GERENTES-AMS	((((((CustomAttribute3 -eq 'JNB') -or (CustomAttribute3 -eq 'LBG') -or (CustomAttribute3 -eq 'UK') -or (CustomAttribute3 -eq 'AMS') -or (CustomAttribute3 -eq 'MIMO'))) -and (((CustomAttribute5 -eq 'L3B') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_GERENTES-FLL	((((((CustomAttribute3 -eq 'FLL') -or (CustomAttribute3 -eq 'AZ'))) -and (((CustomAttribute5 -eq 'L3B') -or (CustomAttribute5 -eq 'L3A') -or (CustomAttribute5 -eq 'L3'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_SUPERVISORES-BHZ	((((CustomAttribute3 -eq 'BHZ') -and (((CustomAttribute5 -eq 'L4') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_SUPERVISORES-BJS	((((CustomAttribute3 -eq 'BJS') -and (((CustomAttribute5 -eq 'L4') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4B'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_SUPERVISORES-BNA	((((((CustomAttribute3 -eq 'BNA') -or (CustomAttribute3 -eq 'MCN') -or (CustomAttribute3 -eq 'MQY'))) -and (((CustomAttribute5 -eq 'L4B') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_SUPERVISORES-AMS	((((((CustomAttribute3 -eq 'LBG') -or (CustomAttribute3 -eq 'AMS') -or (CustomAttribute3 -eq 'MIMO'))) -and (((CustomAttribute5 -eq 'L4B') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4'))) -and (RecipientType -eq 'UserMailbox'))) ))
DG_EMB_SUPERVISORES-EDE	((((((CustomAttribute3 -eq '9901') -or (CustomAttribute3 -eq 'ELEB') -or (CustomAttribute3 -eq 'ETTE') -or (CustomAttribute3 -eq 'EDE'))) -and (((CustomAttribute5 -eq 'L4B') -or (CustomAttribute5 -eq 'L4A') -or (CustomAttribute5 -eq 'L4'))) -and (RecipientType -eq 'UserMailbox'))) ))
